,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,0.0027974128723144533,0.00010049340563736455,0.08064503669738769,0.0012440555201950207,23,{'n_neighbors': 23},0.7589118198874296,0.7549295774647887,0.7708920187793428,0.7718309859154929,0.739906103286385,0.7592941010666878,0.01171985358340532,77
23,0.00276031494140625,3.0439844073504082e-05,0.08214001655578614,0.0025125798054848924,24,{'n_neighbors': 24},0.7636022514071295,0.7464788732394366,0.7680751173708921,0.7755868544600939,0.7361502347417841,0.7579786662438672,0.014507494536913081,80
24,0.0027629852294921873,5.366894891922458e-05,0.08228797912597656,0.001409731888954426,25,{'n_neighbors': 25},0.7682926829268293,0.7502347417840376,0.7680751173708921,0.7746478873239436,0.7474178403755869,0.7617336539562578,0.010836788660594489,72
25,0.0027602195739746095,8.301204936174933e-05,0.08216242790222168,0.0008176175818160043,26,{'n_neighbors': 26},0.7654784240150094,0.7539906103286385,0.7718309859154929,0.7746478873239436,0.7474178403755869,0.7626731495917343,0.010423443018631658,64
26,0.0028300762176513674,0.0001665645773785109,0.082924222946167,0.0005941368718358108,27,{'n_neighbors': 27},0.7626641651031895,0.7539906103286385,0.7680751173708921,0.7774647887323943,0.7502347417840376,0.7624858846638304,0.009776492839001684,66
27,0.002704954147338867,3.0969683243055104e-05,0.08394322395324708,0.0013827900601871726,28,{'n_neighbors': 28},0.7607879924953096,0.7530516431924883,0.7708920187793428,0.7690140845070422,0.748356807511737,0.7604205092971841,0.008757513095171079,75
28,0.0027170181274414062,2.0355976668481083e-05,0.08456721305847167,0.0010265952705364658,29,{'n_neighbors': 29},0.7654784240150094,0.7549295774647887,0.7708920187793428,0.7680751173708921,0.7502347417840376,0.7619219758828142,0.00795557942039264,71
29,0.0028391361236572267,8.678729712587328e-05,0.08577666282653809,0.001463314648461597,30,{'n_neighbors': 30},0.7664165103189493,0.7530516431924883,0.7699530516431925,0.7680751173708921,0.7455399061032864,0.7606072457257618,0.00960179778174809,74
30,0.002788877487182617,5.966423870204711e-05,0.0856740951538086,0.0008450837043350727,31,{'n_neighbors': 31},0.7654784240150094,0.7530516431924883,0.7699530516431925,0.7708920187793428,0.7511737089201878,0.7621097693100441,0.008386177718506698,69
31,0.0027667522430419923,5.163919667542925e-05,0.08607001304626465,0.000980572683329889,32,{'n_neighbors': 32},0.7636022514071295,0.7539906103286385,0.7699530516431925,0.7746478873239436,0.7455399061032864,0.761546741361238,0.010581541388648351,73
